EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;MANAGER_ID;DEPARTMENT_ID;;;
147;Alberto;Errazuriz;aerrazur@dstore.co.za;21905429278;10-Mar-05;SA_MAN;12000;100;80;;;
148;Gerald;Cambrault;gcambrau@dstore.co.za;21905619268;15-Oct-07;SA_MAN;11000;100;80;;;
149;Eleni;Zlotkey;ezlotkey@dstore.co.za;21905429018;29-Jan-08;SA_MAN;10500;100;80;;;
150;Peter;Tucker;ptucker@dstore.co.za;21905129268;30-Jan-05;SA_REP;10000;145;80;;;
151;David;Bernstein;dbernste@dstore.co.za;21905345268;24-Mar-05;SA_REP;9500;145;80;;;
152;Peter;Hall;phall@dstore.co.za;21988478968;20-Aug-05;SA_REP;9000;145;80;;;
153;Christopher;Olsen;colsen@dstore.co.za;21988498718;30-Mar-06;SA_REP;8000;145;80;;;
154;Nanette;Cambrault;ncambrau@dstore.co.za;21988987668;09-Dec-06;SA_REP;7500;145;80;;;
155;Oliver;Tuvault;otuvault@dstore.co.za;21988486508;23-Nov-07;SA_REP;7000;145;80;;;
156;Janette;King;jking@dstore.co.za;21988429268;30-Jan-04;SA_REP;10000;146;80;;;
157;Patrick;Sully;psully@dstore.co.za;21988929268;04-Mar-04;SA_REP;9500;146;80;;;
158;Allan;McEwen;amcewen@dstore.co.za;21392829268;01-Aug-04;SA_REP;9000;146;80;;;
159;Lindsey;Smith;lsmith@dstore.co.za;21392729268;10-Mar-05;SA_REP;8000;146;80;;;
160;Louise;Doran;ldoran@dstore.co.za;21392629268;15-Dec-05;SA_REP;7500;146;80;;;
161;Sarath;Sewall;ssewall@dstore.co.za;21392529268;03-Nov-06;SA_REP;7000;146;80;;;
162;Clara;Vishney;cvishney@dstore.co.za;21392129268;11-Nov-05;SA_REP;10500;147;80;;;
163;Danielle;Greene;dgreene@dstore.co.za;21392229268;19-Mar-07;SA_REP;9500;147;80;;;
164;Mattea;Marvins;mmarvins@dstore.co.za;21959329268;24-Jan-08;SA_REP;7200;147;80;;;
165;David;Lee;dlee@dstore.co.za;21959529268;23-Feb-08;SA_REP;6800;147;80;;;
166;Sundar;Ande;sande@dstore.co.za;21959629268;24-Mar-08;SA_REP;6400;147;80;;;
167;Amit;Banda;abanda@dstore.co.za;21959729268;21-Apr-08;SA_REP;6200;147;80;;;
168;Lisa;Ozer;lozer@dstore.co.za;21959929268;11-Mar-05;SA_REP;11500;148;80;;;
169;Harrison;Bloom;hbloom@dstore.co.za;21959829268;23-Mar-06;SA_REP;10000;148;80;;;
170;Tayler;Fox;tfox@dstore.co.za;21483729268;24-Jan-06;SA_REP;9600;148;80;;;
171;William;Smith;wsmith@dstore.co.za;21483629268;23-Feb-07;SA_REP;7400;148;80;;;
172;Elizabeth;Bates;ebates@dstore.co.za;21483529268;24-Mar-07;SA_REP;7300;148;80;;;
173;Sundita;Kumar;skumar@dstore.co.za;21483329268;21-Apr-08;SA_REP;6100;148;80;;;
174;Ellen;Abel;eabel@dstore.co.za;21483429267;11-May-04;SA_REP;11000;149;80;;;
175;Alyssa;Hutton;ahutton@dstore.co.za;21483429266;19-Mar-05;SA_REP;8800;149;80;;;
176;Jonathon;Taylor;jtaylor@dstore.co.za;21483429265;24-Mar-06;SA_REP;8600;149;80;;;
177;Jack;Livingston;jlivings@dstore.co.za;21483429264;23-Apr-06;SA_REP;8400;149;80;;;
178;Kimberely;Grant;kgrant@dstore.co.za;21483429263;24-May-07;SA_REP;7000;149;80;;;
179;Charles;Johnson;cjohnson@dstore.co.za;21483429262;04-Jan-08;SA_REP;6200;149;80;;;
